,id,linenum,match_id,orig_id,value,var
303,,,234011.0,232006.0,2,
304,,,236003.0,233002.0,2,
305,,,231011.0,233004.0,1,
306,,,234001.0,233008.0,4,
307,,,231019.0,233009.0,2,
308,,,231016.0,233010.0,2,
309,,,234016.0,234001.0,1,
310,,,231043.0,234002.0,1,
311,,,231014.0,234004.0,4,
312,,,234008.0,234005.0,5,
313,,,236001.0,234006.0,5,
314,,,231008.0,234008.0,3,
315,,,231039.0,234009.0,4,
316,,,237003.0,234010.0,2,
317,,,233002.0,234011.0,2,
318,,,231006.0,234012.0,5,
319,,,231007.0,234013.0,1,
320,,,237005.0,234016.0,3,
321,,,234016.0,234022.0,1,
322,,,236001.0,235001.0,5,
323,,,231017.0,235002.0,3,
324,,,234010.0,235003.0,5,
325,,,237006.0,236001.0,3,
326,,,234013.0,236002.0,2,
327,,,233002.0,236003.0,1,
328,,,235001.0,236004.0,2,
329,,,234022.0,237003.0,5,
330,,,231012.0,237004.0,4,
331,,,233003.0,237005.0,1,
332,,,236002.0,237006.0,3,
333,,,231010.0,231001.0,4,
334,,,231028.0,231002.0,4,
335,,,231041.0,231008.0,5,
336,,,235002.0,231011.0,1,
337,,,231026.0,231014.0,1,
338,,,236001.0,231021.0,4,
339,,,234010.0,231028.0,4,
340,,,234010.0,231036.0,2,
341,,,231019.0,232006.0,2,
342,,,233002.0,232007.0,3,
343,,,231014.0,234001.0,2,
344,,,231015.0,234006.0,5,
345,,,231035.0,234008.0,1,
346,,,231032.0,234009.0,5,
347,,,234023.0,234010.0,2,
348,,,231003.0,234013.0,5,
349,,,231039.0,236004.0,3,
350,,,235002.0,231001.0,4,
351,,,236004.0,231002.0,2,
352,,,234020.0,231006.0,5,
353,,,234024.0,231008.0,3,
354,,,231012.0,231009.0,5,
355,,,231009.0,231010.0,4,
356,,,233002.0,231011.0,1,
357,,,233011.0,231014.0,2,
358,,,234006.0,231018.0,3,
359,,,233007.0,231021.0,3,
360,,,233002.0,231029.0,1,
361,,,233008.0,232002.0,2,
362,,,231029.0,234001.0,1,
363,,,231024.0,234005.0,2,
364,,,231012.0,234006.0,3,
365,,,231017.0,234009.0,3,
366,,,231041.0,234010.0,5,
367,,,233008.0,234013.0,4,
368,,,234018.0,236004.0,3,
369,,,232003.0,237004.0,1,
370,,,235001.0,231001.0,5,
371,,,234012.0,231002.0,3,
372,,,234014.0,231003.0,5,
373,,,234013.0,231005.0,2,
374,,,233008.0,231006.0,1,
375,,,234024.0,231007.0,4,
376,,,234012.0,231008.0,4,
377,,,233008.0,231010.0,1,
378,,,231012.0,231011.0,4,
379,,,234023.0,231012.0,2,
380,,,232006.0,231014.0,3,
381,,,234009.0,231015.0,2,
382,,,234012.0,231017.0,4,
383,,,231041.0,231018.0,3,
384,,,234007.0,231019.0,3,
385,,,234007.0,231020.0,4,
386,,,231011.0,231021.0,3,
387,,,237003.0,231022.0,2,
388,,,233002.0,231024.0,1,
389,,,234018.0,231026.0,3,
390,,,235002.0,231028.0,5,
391,,,231034.0,231029.0,1,
392,,,231043.0,231032.0,2,
393,,,234004.0,231034.0,5,
394,,,231022.0,231035.0,2,
395,,,237004.0,231036.0,1,
396,,,234004.0,231039.0,3,
397,,,234012.0,231041.0,4,
398,,,231036.0,231043.0,4,
399,,,231036.0,232002.0,1,
400,,,231034.0,232003.0,1,
401,,,232005.0,232004.0,5,
402,,,231023.0,232005.0,3,
403,,,233007.0,232006.0,4,
404,,,231024.0,232007.0,4,
405,,,234008.0,233003.0,2,
406,,,231032.0,233004.0,3,
